"microscope_names_name","microscope_names_url","microscope_names_description","microscope_names_image"
"Laxco™ LMC-3000 Series Routine Clinical Microscope, Fluorescence Configuration","https://www.fishersci.com/shop/products/lmc-3000-series-routine-clinical-microscope-fluorescence-configuration/p-8015256","Description
Key Features
Single high-powered LED
Carrying handle
Stable main body
Brightfield illumination
High contrast, broad beam optical design
Stand
Rack and pinion focusting mechanism for smooth focusing control
X/Y mechanical stage
Coarse and fine focus adjustment
Reversed quintuple or quadruple nose-piece
Full Koehler illumination with field and iris diaphragm
Binocular & Trinocular Optics
360° rotating binoculars
50 to 75mm interpupillary distance
Rubber eyecups
Diopter adjustments
Eyepieces
10X magnification with 20mm wide field eyepieces
Optional ability to lock eyepiece
Illumination
3 watt bright white LED illumination
Removable LED tray
Adjustable
Maintains constant color temperature
50,000 hour life span
LED Fluorescence
25,000 hour life span
No alignment needed
LED wavelength specific to filter set
Adjustable light intensity
High signal to noise ratio
Stable light excitation energy
No warm-up or cool down time
Produces no harmful UV light
Powered by optional battery pack
Filter Sets
LMC3RC4: EGFP/GFP/FITC (EX: 470/20, EM: 525/20)
LMC3RC5: Texas RED/XCy3.5/Mito, Tracker Red (EX: 470/20, EM: 525/20)
LMC3RC6: DAPI/Hoechst/AMCA/AMCA-X Blue/Alexa Fluor 350 (EX: 365/25, EM: 460/25)
LMC3RC7: Tuberculosis (TB)/Auramine O/wtGFP (EX: 450/25, EM: 485 LP)","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307282~p.eps-650.jpg"
"Laxco™ LMC-3000 Series Routine Clinical Microscope, Brightfield Configuration","https://www.fishersci.com/shop/products/lmc-3000-series-routine-clinical-microscope-brightfield-configuration/p-8015255","Description
Key Features
Single high-powered LED
Carrying handle
Stable main body
Brightfield illumination
High contrast, broad beam optical design
Stand
Rack and pinion focusting mechanism for smooth focusing control
X/Y mechanical stage
Coarse and fine focus adjustment
Reversed quintuple or quadruple nose-oiece
Full Koehler illumination with field and iris diaphragm
Binocular & Trinocular Optics
360° rotating binoculars
50 to 75mm interpupillary distance
Rubber eyecups
Diopter adjustments
Eyepieces
10X magnification with 20mm wide field eyepieces
Optional ability to lock eyepiece
Illumination
3 watt bright white LED illumination
Removable LED tray
Adjustable
Maintains constant color temperature
50,000 hour life span","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307279~p.eps-650.jpg"
"Laxco™ LMC-4000 Series Clinical Microscope, Cytology Configuration","https://www.fishersci.com/shop/products/lmc-4000-series-clinical-microscope-cytology-configuration/p-8015258","Description
Key Features
Y-Shaped body for maximum stability
Carrying handle
Stable main body
Brightfield, Darkfield, Polarization, Metallurgical, Phase Contrast, and Fluorescence contrast methods
High contrast, broad beam optical design
Modular design allows for flexibility in system configuration - 100% customizable for every need
Optical System
Infinity corrected optical system
Plan Achromat objectives standard, Plan Fluor (optional)
Wide range of magnifications: 2X, 4X, 10X, 40X, 60X, 100X
Anti-reflective coatings on optics
Sharp images with bright, natural color
Parcentric and parfocal objectives
Trinocular Optics
10X eyepieces with 22mm widefield eyepieces
50 to 75mm interpupillary distance
Light splitting ration o.100/50.50 (o:100/100.0 on FL models)
Rubber eyecups
Diopter adjustment
Tilting ergonomic head and standard fixed eyepiece configurations available
Stand
Large, sturdy base designed for the lab environment
Rack and pinion focusting mechanism for smooth focus control
Rackless, X/Y mehcanical stage with adjustable tension
Built-in carrying handle for easy transportation
Coarse and fine focus adjustment
Reversed quintuple nosepiece
Full Koehler illumination with field and iris diaphragm","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307287~p.eps-650.jpg"
"Laxco™ LMC-5000 Series Clinical Microscope, Microbiology Configuration","https://www.fishersci.com/shop/products/lmc-5000-series-clinical-microscope-microbiology-configuration/lmc5mc1","Description
Key Features
Large T-Shaped body for maximum stability
Carrying handle
Stable main body
Brightfield, Metallurgical, and Fluorescence contrast methods
High contrast, broad beam optical design
Modular design allows for flexibility in system configuration - 100% customizable for every need
Optical System
Infinity corrected optical system
Plan fluor objectives
Wide range of magnifications: 2X, 4X, 10X, 20X, 40X, 60X, 50X Oil and 100X
Anti-reflective coatings on optics
Sharp images with color corrected optics
Parcentric and parfocal objectives
Stand
Modular frame design
Integrated LBD and ND filters
Stable main body design
Rackless, wire driven X/Y mechanical stage
Coaxial focus drive, with focus range of 25mm and 1um precision
Reversed 6-position nosepiece (7-position optional)
12V/100w halogen transmitted illumination
Full Koehler illumination with field and iris diaphragm","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307317~p.eps-650.jpg"
"Laxco™ LMC-4000 Series Clinical Microscope, Pathology/Histology Configuration, Dual View Face-toFace","https://www.fishersci.com/shop/products/lmc-4000-series-clinical-microscope-pathology-histology-configuration-dual-view-face-toface-1/p-8015264","Description
Key Features
Large, sturdy base designed for the lab environment
Rack and pinion focusing mechanism for smooth focus control
Rackless, X/Y mechanical stage with adjustable tension
Reversed quintuple nosepiece
High contrast, borad beam optical desing
Full Koehler illumination with field and iris diaphragm
Modular design allows for flexibility in system configuration - 100% customizable for every application
LED pointer
12V/100w illumination
Supports up to 5 heads
Optical System
Infinity corrected optical system
Plan Achromat objectives stand, Plan Fluor optional
Wide range of magnifications: 2X, 4X, 10X, 20X, 40X, 50X Oil, 60X, and 100X
Anti-reflective coatings on optics
Sharp images with color corrected optics
Parcentric and parfocal objectives","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307310~p.eps-650.jpg"
"Laxco™ SeBa™ PRO 5 Microscope, Microbiology Configuration","https://www.fishersci.com/shop/products/seba-pro-5-microscope-microbiology-configuration/sebap5mc1","Description
6 position objective nosepiece
12.3 in., 2048 x 1536 display with 10 point multi-touch
16MP color camera
Individual user login via access card(s)
Easily capture, review, measure, print, and annotate images
Brightfield illumination
Upload images to SeBaShare or save to USB drive
Parfocal and parcentric infinity optical system
Plan Fluor objectives standard, Plan Achromat (Optional)
X/Y rackless wire-driven stage
Integrated LBD and ND filters","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307365~p.eps-650.jpg"
"Laxco™ LMC-5000 Series Clinical Microscope, FISH Fluorescence Configuration, Filter Set A","https://www.fishersci.com/shop/products/lmc-5000-series-clinical-microscope-fish-fluorescence-configuration-1/lmc5cc1","Description
Key Features
Over 90% transmission
Coatings do not break down over time
Superior signal to noise ratio
Hard Coated Filters
Over 90% transmission efficiency and does not break down over time under any wavelength of light
Greater efficiency produces superior signal to noise ratio
Mercury Fluorescence
Full spectrum illumination
100 watt mercury bulb
Digital power supply
Centerable lamp housing
6 position filter turret
Brightfield and fluorescence observation
Fluorescence light block
Filter Set A
[1] 49000 Chroma ET Series Bandpass DAPI Set, [2] 49302 Chroma ET Series Aqua Bandpass Filter Set, [3] 49303 Chroma ET Series Green Bandpass Filter Set, [4] 49305 Chroma ET Series Orange Bandpass Filter Set, [5] 49304 Chroma ET Series Gold Bandpass Filter Set, [5] 49306 Chroma ET Series Red Bandpass Filter Set","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307314~p.eps-650.jpg"
"Laxco™ LMC-4000 Series Clinical Microscope, Microbiology Configuration","https://www.fishersci.com/shop/products/lmc-4000-series-clinical-microscope-microbiology-configuration/p-8015260","Description
Key Features
Y-Shaped body for maximum stability
Carrying handle
Stable main body
Brightfield, Darkfield, Polarization, Metallurgical, Phase Contrast, and Fluorescence contrast methods
High contrast, broad beam optical design
Modular design allows for flexibility in system configuration - 100% customizable for every need
Optical System
Infinity corrected optical system
Plan Achromat objectives standard, Plan Fluor (optional)
Wide range of magnifications: 2X, 4X, 10X, 40X, 60X, 100X
Anti-reflective coatings on optics
Sharp images with bright, natural color
Parcentric and parfocal objectives
Trinocular Optics
10X eyepieces with 22mm widefield eyepieces
50 to 75mm interpupillary distance
Light splitting ration o.100/50.50 (o:100/100.0 on FL models)
Rubber eyecups
Diopter adjustment
Tilting ergonomic head and standard fixed eyepiece configurations available
Stand
Large, sturdy base designed for the lab environment
Rack and pinion focusting mechanism for smooth focus control
Rackless, X/Y mehcanical stage with adjustable tension
Built-in carrying handle for easy transportation
Coarse and fine focus adjustment
Reversed quintuple nosepiece
Full Koehler illumination with field and iris diaphragm","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307293~p.eps-650.jpg"
"Laxco™ LMC-4000 Series Clinical Microscope, Microbiology Fluorescence Configuration","https://www.fishersci.com/shop/products/lmc-4000-series-clinical-microscope-microbiology-fluorescence-configuration/p-8015261","Description
Key Features
Y-Shaped body for maximum stability
Carrying handle
Stable main body
Brightfield, Darkfield, Polarization, Metallurgical, Phase Contrast, and Fluorescence contrast methods
High contrast, broad beam optical design
Modular design allows for flexibility in system configuration - 100% customizable for every need
LED Fluorescence
25,000 hour life span
No alignment needed
LED wave length specific to filter set
Adjustable light intensity
High signal-to-noise ratio
Stable light excitation energy
No warm-up or cool down time
Produces no harmful UV light
Powered by optional battery pack
Optical System
Infinity corrected optical system
Plan Achromat objectives standard, Plan Fluor (optional)
Wide range of magnifications: 2X, 4X, 10X, 40X, 60X, 100X
Anti-reflective coatings on optics
Sharp images with bright, natural color
Parcentric and parfocal objectives
Filter Sets
LMC4MC3: [1] DAPI/Hoechst/AMCA/AMCA-X Blue/Alexa Fluor 350 (EX: 365/25, EM:460/25), [2] EGFP/GFP/FITC (EX: 470/20, EM: 525/20), [3] Texas RED/XCy3.5/Mito, Tracker Red (EX: 470/20, EM: 525/20
LMC4MC4: [1] DAPI/Hoechst/AMCA/AMCA-X Blue/Alexa Fluor 350 (EX: 365/25, EM:460/25), [2] EGFP/GFP/FITC (EX: 470/20, EM: 525/20), [3] Texas RED/XCy3.5/Mito, Tracker Red (EX: 470/20, EM: 525/20","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307295~p.eps-650.jpg"
"Laxco™ LMC-5000 Series Clinical Microscope, FISH Fluorescence Configuration, Filter Set B","https://www.fishersci.com/shop/products/lmc-5000-series-clinical-microscope-fish-fluorescence-configuration-2/lmc5cc2","Description
Key Features
Over 90% transmission
Coatings do not break down over time
Superior signal to noise ratio
Hard Coated Filters
Over 90% transmission efficiency and does not break down over time under any wavelength of light
Greater efficiency produces superior signal to noise ratio
Mercury Fluorescence
Full spectrum illumination
100 watt mercury bulb
Digital power supply
Centerable lamp housing
6 position filter turret
Brightfield and fluorescence observation
Fluorescence light block
Camera and Software
1.4MP Mono with Imaging Software
Filter Set B
[1] 49000 Chroma ET Series Bandpass DAPI Set, [2] 49302 Chroma ET Series Aqua Bandpass Filter Set, [3] 49303 Chroma ET Series Green Bandpass Filter Set, [4] 49305 Chroma ET Series Orange Bandpass Filter Set, [5] 49304 Chroma ET Series Gold Bandpass Filter Set, [5] 49306 Chroma ET Series Red Bandpass Filter Set","https://assets.fishersci.com/TFS-Assets/CCG/product-images/F307315~p.eps-650.jpg"
